#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:maddison" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:maddison" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:maddison">
#                <taxonset id="TaxonSet.maddison" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:maddison" name="distribution" x="@birthRate.t:maddison">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@maddison" id="treeLikelihood.maddison" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:maddison">
#            <siteModel id="SiteModel.s:maddison" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:maddison" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:maddison" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:maddison" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:maddison" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:maddison" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:maddison" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate
0	-96.62723892423288	-93.8450461480896	-2.782192776143291	-93.8450461480896	1.0642594150633693	-2.782192776143291	1.2214242790520726
1000	-65.5699191290041	-67.60108398223294	2.031164853228834	-67.60108398223294	0.16039197116480336	2.031164853228834	3.67330173636217
2000	-67.65263053410695	-68.84535935375709	1.1927288196501362	-68.84535935375709	0.2231618600468992	1.1927288196501362	3.7185713485985534
3000	-69.28678179072305	-69.87880765605158	0.5920258653285297	-69.87880765605158	0.24770551450228184	0.5920258653285297	7.311959812471817
4000	-65.72815350015472	-67.39547580625154	1.6673223060968172	-67.39547580625154	0.17884638539407233	1.6673223060968172	7.641207752785094
5000	-65.52771380135783	-68.95634498245056	3.428631181092723	-68.95634498245056	0.09951081886144209	3.428631181092723	12.814561597948957
6000	-66.2411928433206	-67.5416304188739	1.3004375755532882	-67.5416304188739	0.19348401853826797	1.3004375755532882	7.530395707678426
7000	-66.50369879409047	-69.1905599645532	2.686861170462728	-69.1905599645532	0.1412397934697973	2.686861170462728	4.807920504029902
8000	-65.70365095683866	-67.54455123580895	1.8409002789702948	-67.54455123580895	0.18312262049978706	1.8409002789702948	5.137250926458813
9000	-64.8280052186765	-66.98145051887943	2.153445300202929	-66.98145051887943	0.18887199038270652	2.153445300202929	4.617131289962483
10000	-66.84956377447432	-68.8248256163653	1.9752618418909895	-68.8248256163653	0.13012025295414648	1.9752618418909895	12.79194679433648
11000	-65.63531837845159	-68.14743769118223	2.5121193127306527	-68.14743769118223	0.1351431052978257	2.5121193127306527	7.545482852072326
12000	-64.4114555117484	-67.30892460723905	2.897469095490654	-67.30892460723905	0.15112938120042405	2.897469095490654	8.765054694525881
